,W,L,W,L,PF,PA,HOME,AWAY,STREAK
UConn,0,0,1,11,187,462,5-Jan,0-6,Lost 4
NIU,6,2,9,5,451,472,2-May,3-Apr,Lost 1
Central Mich.,6,2,9,4,420,335,1-Jun,3-Mar,Won 5
Kent St.,6,2,7,7,462,508,May-00,7-Feb,Lost 2
Toledo,5,3,7,6,434,283,4-Mar,2-Apr,Lost 1
Miami (OH),5,3,7,6,376,300,Jun-00,6-Jan,Won 1
Western Mich.,4,4,8,5,422,367,2-Apr,3-Apr,Won 2
Eastern Mich.,4,4,7,6,392,390,2-Apr,4-Mar,Lost 2
Ball St.,4,4,6,7,313,369,4-Mar,3-Mar,Lost 1
Ohio,3,5,3,9,271,364,5-Jan,4-Feb,Lost 2
Buffalo,2,6,4,8,340,366,4-Feb,4-Feb,Lost 4
Bowling Green,2,6,4,8,257,368,4-Feb,4-Feb,Won 1
Akron,1,7,2,10,245,463,5-Jan,5-Jan,Lost 6
San Diego St.,7,1,12,2,383,277,2-Jul,May-00,Won 1
Utah St.,6,2,11,3,450,342,3-Mar,Aug-00,Won 3
Fresno St.,6,2,10,3,434,267,1-Jun,2-Apr,Won 3
Air Force,6,2,10,3,403,257,3-Apr,Jun-00,Won 4
Nevada,5,3,8,5,509,352,2-May,3-Mar,Lost 1
Boise St.,5,3,7,5,350,228,3-Mar,2-Apr,Lost 1
Hawaii,3,5,6,7,385,423,2-Apr,5-Feb,Won 2
San Jose St.,3,5,5,7,236,342,3-Mar,4-Feb,Lost 3
Wyoming,2,6,7,6,330,308,3-Apr,3-Mar,Won 1
UNLV,2,6,2,10,249,394,5-Jan,5-Jan,Lost 2
New Mexico,1,7,3,9,146,339,4-Feb,5-Jan,Lost 4
Colorado St.,0,0,0,1,284,339,5-Jan,4-Feb,Lost 7
Utah,8,1,10,4,506,323,Jul-00,4-Mar,Lost 1
Oregon,7,2,10,4,440,378,Jul-00,4-Mar,Lost 2
UCLA,6,3,8,4,438,321,3-Apr,1-Apr,Won 3
Arizona St.,6,3,8,5,369,271,2-Jun,3-Feb,Lost 1
Washington St.,6,3,7,6,362,315,3-Apr,3-Mar,Lost 1
Oregon St.,5,4,7,6,406,335,1-Jun,5-Jan,Lost 2
California,4,5,5,7,285,267,2-Apr,5-Jan,Won 1
Southern California,3,6,4,8,344,381,5-Feb,3-Feb,Lost 4
Washington,3,6,4,8,258,272,5-Feb,3-Feb,Lost 4
Colorado,3,6,4,8,225,320,3-Apr,0-5,Lost 1
Stanford,2,7,3,9,245,389,5-Jan,4-Feb,Lost 7
Arizona,1,8,1,11,213,377,6-Jan,0-5,Lost 3
Georgia,8,0,14,1,579,153,Jun-00,1-Aug,Won 2
Alabama,7,1,13,2,598,302,1-Sep,1-Apr,Lost 1
Ole Miss,6,2,10,3,438,321,1-Aug,2-Feb,Lost 1
Kentucky,5,3,10,3,420,282,1-Jul,2-Mar,Won 4
Arkansas,4,4,9,4,402,298,1-Aug,3-Jan,Won 2
Texas A&M,4,4,8,4,352,191,1-Jun,3-Feb,Lost 1
Tennessee,4,4,7,6,511,378,3-May,3-Feb,Lost 1
Mississippi St.,4,4,7,6,378,337,4-Apr,2-Mar,Lost 2
South Carolina,3,5,7,6,294,312,2-Jun,4-Jan,Won 1
Missouri,3,5,6,7,378,440,2-May,5-Jan,Lost 2
Auburn,3,5,6,7,368,283,4-Apr,3-Feb,Lost 5
LSU,3,5,6,7,345,346,2-May,5-Jan,Lost 1
Florida,2,6,6,7,399,348,3-May,4-Jan,Lost 1
Vanderbilt,0,8,2,10,189,430,6-Jan,4-Jan,Lost 7
Louisiana,8,0,13,1,435,259,Jul-00,1-Jun,Won 13
App State,7,1,10,4,483,310,1-Jul,3-Mar,Lost 2
Coastal Carolina,6,2,11,2,532,281,1-Jul,1-Apr,Won 3
Georgia St.,6,2,8,5,366,350,2-Apr,3-Apr,Won 4
Troy,3,5,5,7,274,313,3-Mar,4-Feb,Lost 3
Texas St.,3,5,4,8,251,375,4-Jan,4-Feb,Won 1
South Alabama,2,6,5,7,278,291,2-Apr,4-Jan,Lost 4
ULM,2,6,4,8,251,402,2-Apr,0-6,Lost 5
Ga. Southern,2,6,3,9,243,377,4-Feb,5-Jan,Lost 2
Arkansas St.,1,7,2,10,303,463,5-Jan,5-Jan,Lost 2
